"","ID_MAP","code_GUS","powiat_name","if_core_city","dist_to_core","unemployment_rate","firms","population"
"1",15,1410000,"Powiat łosicki",0,123.12,12.4,2285,31335
"2",16,1414000,"Powiat nowodworski",0,35.03,13,7958,79298
"3",17,1415000,"Powiat ostrołęcki",0,106.92,18.7,5524,88944
"4",18,1416000,"Powiat ostrowski",0,88.7,18.2,6388,73284
"5",19,1417000,"Powiat otwocki",0,29.05,9.9,15745,123770
"6",20,1418000,"Powiat piaseczyński",0,25.38,8.2,33370,182076
"7",21,1419000,"Powiat płocki",0,88.88,21.1,7492,111226
"8",22,1420000,"Powiat płoński",0,63.89,18.1,6425,87662
"9",23,1421000,"Powiat pruszkowski",0,21.14,8,28260,162922
"10",24,1422000,"Powiat przasnyski",0,100.37,16.8,3601,52884
"11",25,1423000,"Powiat przysuski",0,98.27,27.8,2801,42116
"12",26,1412000,"Powiat miński",0,40.24,11.2,14524,152945
"13",27,1413000,"Powiat mławski",0,101.13,15.1,5386,73376
"14",28,1424000,"Powiat pułtuski",0,49.6,23.3,3998,51834
"15",29,1425000,"Powiat radomski",0,97.39,30.3,11093,151955
"16",30,1426000,"Powiat siedlecki",0,86.18,11.9,5490,81402
"17",31,1427000,"Powiat sierpecki",0,111.97,25,3414,52559
"18",32,1429000,"Powiat sokołowski",0,88.41,11.6,3965,54604
"19",33,1428000,"Powiat sochaczewski",0,56.93,11.5,8745,85175
"20",34,1430000,"Powiat szydłowiecki",0,114.05,38,3168,39938
"21",35,1432000,"Powiat warszawski zachodni",0,26.58,6.6,19184,115466
"22",36,1433000,"Powiat węgrowski",0,62,15.7,4795,66508
"23",37,1401000,"Powiat białobrzeski",0,69.92,17,2757,33542
"24",38,1402000,"Powiat ciechanowski",0,76.05,17.3,7235,89976
"25",39,1403000,"Powiat garwoliński",0,61.09,14.5,7513,108981
"26",40,1404000,"Powiat gostyniński",0,100.73,23.2,3452,45461
"27",41,1405000,"Powiat grodziski",0,36.37,7.8,12896,92847
"28",42,1406000,"Powiat grójecki",0,53.14,8.6,9006,98701
"29",43,1407000,"Powiat kozienicki",0,74.29,19.1,4065,60699
"30",44,1436000,"Powiat zwoleński",0,106.53,21.9,2236,36606
"31",45,1408000,"Powiat legionowski",0,24.74,14.7,16636,115384
"32",46,1409000,"Powiat lipski",0,126.35,17,2570,34496
"33",47,1434000,"Powiat wołomiński",0,31.01,15.7,30127,241890
"34",48,1435000,"Powiat wyszkowski",0,55.1,15.1,6360,74020
"35",49,1437000,"Powiat żuromiński",0,115.72,23.3,2719,39263
"36",144,1411000,"Powiat makowski",0,78.02,25.6,3712,45580
"37",148,1463000,"Powiat m.Radom",0,93.96,22.6,24450,214566
"38",149,1438000,"Powiat żyrardowski",0,50.19,15.3,8456,76056
"39",150,1461000,"Powiat m.Ostrołęka",0,103.08,15.7,5957,52215
"40",151,1465000,"Powiat m. st. Warszawa",1,0,4.3,434676,1764615
"41",163,1464000,"Powiat m.Siedlce",0,83.24,11.5,8479,77653
"42",171,1462000,"Powiat m.Płock",0,96.64,12.8,12456,120787
